key,name,domain,criticality,odoo_model,status,next_entity,next_module,next_api_count,next_ui,next_workflow,next_report,gap_description,risk,priority,notes
home_dashboard,Домашний дашборд,Project Management,MUST,construction.home.dashboard,MATCHED,"Dashboard, DashboardWidget",analytics,41,"analytics, analytics/kpi-achievements, analytics/bonus-calculations",,AnalyticsReport,Full coverage,LOW,P2,Analytics dashboards with widgets; Odoo had single home dashboard
project,Строительный объект,Project Management,MUST,construction.project,MATCHED,"Project, ProjectMember, ProjectCollaborator, ProjectUpdate",project,14,"projects, projects/new, projects/:id (+2 more)","ProjectStatus: [DRAFT,PLANNING,IN_PROGRESS,ON_HOLD,COMPLETED,CANCELLED]; ProjectHealthStatus: [ON_TRACK,AT_RISK,OFF_TRACK,ON_HOLD]",PdfReportService,Odoo had chatter; verify Next comment/activity integration,LOW,P2,"Full project CRUD with members, plan-fact, PDF summary"
change_request,Запрос на изменение,Contract Management,MUST,construction.change.request,MATCHED,"ChangeEvent, ChangeOrder, ChangeOrderItem, ChangeOrderRequest",changeManagement,16,"change-management/events, change-management/events/:id, change-management/orders (+3 more)","ChangeEventStatus: [IDENTIFIED,UNDER_REVIEW,APPROVED_FOR_PRICING,PRICED,APPROVED,REJECTED,VOID]; ChangeOrderStatus: [DRAFT,PENDING_APPROVAL,APPROVED,EXECUTED,VOID]; ChangeOrderRequestStatus: [DRAFT,SUBMITTED,UNDER_REVIEW,APPROVED,REJECTED,REVISED]",,Full coverage,LOW,P2,"Richer change management with events, orders, requests"
contract_penalty,Начисление пеней по контракту,Contract Management,MUST,construction.contract.penalty,MATCHED,"ContractClaim, ContractSla, SlaViolation",contractExt,46,"contracts, contracts/new, contracts/:id (+4 more)","ClaimStatus: [FILED,UNDER_REVIEW,ACCEPTED,REJECTED,RESOLVED]; ViolationStatus: [DETECTED,NOTIFIED,ACKNOWLEDGED,RESOLVED]; ViolationStatus: [OPEN,IN_PROGRESS,RESOLVED,OVERDUE]",,Odoo had chatter; verify Next comment/activity integration,LOW,P2,Penalty mapped to ContractClaim + SLA violations
estimate,Смета,Contract Management,MUST,construction.estimate,MATCHED,"Estimate, EstimateItem, EstimateVersion",estimate,10,"estimates, estimates/:id","EstimateStatus: [DRAFT,IN_WORK,APPROVED,ACTIVE]",,Odoo had chatter; verify Next comment/activity integration,LOW,P2,Full estimate with items and versioning
estimate_norm,Сметный норматив,Contract Management,MUST,construction.estimate.norm,MATCHED,EstimateItem,estimate,10,"estimates, estimates/:id",,,Full coverage,LOW,P2,Norms embedded in EstimateItem; no separate norms entity
specification,Спецификация,Contract Management,MUST,construction.specification,MATCHED,"Specification, SpecItem",specification,7,"specifications, specifications/new, specifications/:id (+3 more)","SpecificationStatus: [DRAFT,IN_REVIEW,APPROVED,ACTIVE]",,Odoo had chatter; verify Next comment/activity integration,LOW,P2,Full specification CRUD with items
estimate_version,Estimate Version,Contract Management,SHOULD,construction.estimate.version,MATCHED,EstimateVersion,estimate,10,"estimates, estimates/:id",,,Odoo had workflow states; verify state management,LOW,P2,Estimate versioning via EstimateVersion entity
price_coefficient,Ценовой коэффициент,Contract Management,SHOULD,construction.price.coefficient,MISSING,,,0,,,,No entity in Next; No API endpoints; No dedicated UI page,MEDIUM,P1,No dedicated price coefficient entity; may be in estimate logic
lrv,Лимитно-разделительная ведомость,Procurement / Purchase,MUST,construction.lrv,MATCHED,"PurchaseRequest, PurchaseRequestItem",procurement,13,"procurement, procurement/new, procurement/:id","PurchaseRequestStatus: [DRAFT,SUBMITTED,IN_APPROVAL,APPROVED,REJECTED,ASSIGNED,ORDERED,DELIVERED,CLOSED,CANCELLED]",,Odoo had chatter; verify Next comment/activity integration,LOW,P2,LRV maps to PurchaseRequest in Next
material_reservation,Резервирование материалов,Procurement / Purchase,MUST,construction.material.reservation,MATCHED,MaterialReservation,procurementExt,16,"procurement, procurement/new, procurement/:id","ReservationStatus: [ACTIVE,RELEASED,EXPIRED]",,Odoo had chatter; verify Next comment/activity integration,LOW,P2,Material reservation entity with release workflow
power_of_attorney,Доверенность М-2/М-2а,Procurement / Purchase,MUST,construction.power.of.attorney,MATCHED,PowerOfAttorney,russianDoc,13,"russian-docs/list, russian-docs/create, russian-docs/ks2 (+5 more)","RussianDocStatus: [DRAFT,CONFIRMED,POSTED,CANCELLED]",,Odoo had chatter; verify Next comment/activity integration,LOW,P2,Power of attorney in russianDoc module
upd,УПД (Универсальный передаточный документ),Procurement / Purchase,MUST,construction.upd,MATCHED,Upd,russianDoc,13,"russian-docs/list, russian-docs/create, russian-docs/ks2 (+5 more)","RussianDocStatus: [DRAFT,CONFIRMED,POSTED,CANCELLED]",,Odoo had chatter; verify Next comment/activity integration,LOW,P2,UPD in russianDoc module
auto_approval_rule,Правило автоматического согласования,Procurement / Purchase,SHOULD,construction.auto.approval.rule,PARTIAL,"AutomationRule, AutomationExecution",workflowEngine,0,"workflow/templates, workflow/instances, workflow/designer (+1 more)","ExecutionStatus: [PENDING,RUNNING,COMPLETED,FAILED]; ExecutionStatus: [PENDING,RUNNING,COMPLETED,FAILED,SKIPPED]",,No API endpoints,LOW,P1,Auto-approval via workflowEngine automation rules; not procurement-specific
material_analog,Группа аналогов материала,Procurement / Purchase,SHOULD,construction.material.analog,MATCHED,"MaterialAnalog, AnalogRequest",specification,7,"specifications/analogs, specifications/analog-requests","AnalogRequestStatus: [PENDING,APPROVED,REJECTED]",,Odoo had chatter; verify Next comment/activity integration,LOW,P2,Material analogs in specification module with dedicated UI
material_norm,Норма расхода материала,Procurement / Purchase,SHOULD,construction.material.norm,MATCHED,EstimateItem,estimate,10,"estimates, estimates/:id",,,Full coverage,LOW,P2,Material norms embedded in estimate items; no separate entity
dispatch_order,Заявка на диспетчеризацию,Warehouse / Inventory,MUST,construction.dispatch.order,MATCHED,"DispatchOrder, DispatchItem","ops, procurementExt",16,dispatch/orders,"DispatchOrderStatus: [NEW,CONFIRMED,DISPATCHED,IN_TRANSIT,DELIVERED,CANCELLED]; DispatchStatus: [PLANNED,DISPATCHED,IN_TRANSIT,DELIVERED,CANCELLED]",,Full coverage,LOW,P2,Dispatch orders with full workflow
equipment_control,Контроль строительной техники,Warehouse / Inventory,MUST,construction.equipment.control,MATCHED,"Vehicle, VehicleAssignment, EquipmentInspection, MaintenanceRecord",fleet,27,"fleet, fleet/:id, fleet/maintenance (+1 more)","VehicleStatus: [AVAILABLE,IN_USE,MAINTENANCE,REPAIR,DECOMMISSIONED]; AssignmentStatus: [PLANNED,ACTIVE,COMPLETED,CANCELLED]; MaintenanceStatus: [PLANNED,IN_PROGRESS,COMPLETED,CANCELLED]",,Odoo had chatter; verify Next comment/activity integration,LOW,P2,Equipment control via fleet module
m29,Отчет М-29 (Списание материалов),Warehouse / Inventory,MUST,construction.m29,MATCHED,"M29Document, M29Line",m29,8,m29,,,Odoo had chatter; verify Next comment/activity integration; Odoo had workflow states; verify state management,LOW,P2,M-29 material usage report with lines
stock_limit,Лимит МПЗ на складе,Warehouse / Inventory,SHOULD,construction.stock.limit,MATCHED,"StockLimit, StockLimitAlert",warehouse,25,"warehouse/stock-limits, warehouse/stock-alerts",,,Odoo had chatter; verify Next comment/activity integration; Odoo had workflow states; verify state management,LOW,P2,Stock limits with alert system
transfer_plan,План перевозок,Warehouse / Inventory,SHOULD,construction.transfer.plan,MATCHED,"StockMovement, StockMovementLine",warehouse,25,"warehouse/movements, warehouse/movements/new","StockMovementStatus: [DRAFT,CONFIRMED,DONE,CANCELLED]",,Odoo had chatter; verify Next comment/activity integration,LOW,P2,Transfer plans mapped to stock movements
transfer_task,Задача доставки,Warehouse / Inventory,SHOULD,construction.transfer.task,MATCHED,"StockMovement, StockMovementLine",warehouse,25,"warehouse/movements, warehouse/movements/new","StockMovementStatus: [DRAFT,CONFIRMED,DONE,CANCELLED]",,Odoo had chatter; verify Next comment/activity integration,LOW,P2,Transfer tasks mapped to stock movements; no separate entity
crew,Строительная бригада,Work Execution / Volumes,MUST,construction.crew,MATCHED,"CrewAssignment, CrewTimeEntry, CrewTimeSheet",hr,20,"crew, hr/crew-timesheets, hr/crew-time-entries","CrewTimeSheetStatus: [DRAFT,SUBMITTED,APPROVED,REJECTED]",CrewTimeReport,Full coverage,LOW,P2,"Crews in hr module with assignments, time entries, timesheets"
daily_log,Ежедневный журнал,Work Execution / Volumes,MUST,construction.daily.log,MATCHED,"DailyLog, DailyLogEntry, DailyLogPhoto",dailylog,11,"operations/daily-logs, operations/daily-logs/new, operations/daily-logs/:id (+1 more)","DailyLogStatus: [DRAFT,SUBMITTED,APPROVED]",PdfReportController,Full coverage,LOW,P2,"Full daily log with entries, photos, submit/approve, PDF"
hidden_work_act,Акт скрытых работ,Work Execution / Volumes,MUST,construction.hidden.work.act,MATCHED,HiddenWorkAct,pto,31,"pto/documents, pto/documents/:id, pto/work-permits (+1 more)","HiddenWorkActStatus: [DRAFT,PENDING_INSPECTION,INSPECTED,APPROVED,REJECTED]",,Full coverage,LOW,P2,Hidden work acts in PTO with inspection workflow
ks11,КС-11 (Акт приёмки),Work Execution / Volumes,MUST,construction.ks11,MATCHED,Ks11AcceptanceAct,pto,31,"pto/documents, pto/documents/:id, pto/work-permits (+1 more)","Ks11Status: [DRAFT,PENDING,SIGNED,REJECTED]",,Full coverage,LOW,P2,KS-11 acceptance act in PTO
ks2,КС-2 (Акт выполненных работ),Work Execution / Volumes,MUST,construction.ks2,MATCHED,"Ks2Document, Ks2Line",closing,16,"russian-docs/ks2, ks2","ClosingDocumentStatus: [DRAFT,SUBMITTED,SIGNED,CLOSED]",PdfReportController,Odoo had chatter; verify Next comment/activity integration,LOW,P2,KS-2 with lines and PDF generation
ks3,КС-3 (Справка стоимости),Work Execution / Volumes,MUST,construction.ks3,MATCHED,"Ks3Document, Ks3Ks2Link",closing,16,"russian-docs/ks3, ks3","ClosingDocumentStatus: [DRAFT,SUBMITTED,SIGNED,CLOSED]",PdfReportController,Odoo had chatter; verify Next comment/activity integration,LOW,P2,KS-3 with KS-2 links and PDF generation
ks6,КС-6 (Общий журнал работ),Work Execution / Volumes,MUST,construction.ks6,MATCHED,Ks6Journal,pto,31,"pto/documents, pto/documents/:id, pto/work-permits (+1 more)","Ks6JournalStatus: [DRAFT,ACTIVE,CLOSED,ARCHIVED]",,Full coverage,LOW,P2,KS-6 journal in PTO
ks6a,КС-6а (Журнал объемов),Work Execution / Volumes,MUST,construction.ks6a,MATCHED,Ks6aRecord,pto,31,"pto/documents, pto/documents/:id, pto/work-permits (+1 more)",,,Odoo had workflow states; verify state management,LOW,P2,KS-6a records in PTO (child of KS-6)
monthly_schedule,Месячный сводный график работ,Work Execution / Volumes,MUST,construction.monthly.schedule,MATCHED,"MonthlySchedule, MonthlyScheduleLine",monthlySchedule,6,,"MonthlyScheduleStatus: [DRAFT,SUBMITTED,APPROVED,CLOSED]",,No dedicated UI page; Odoo had chatter; verify Next comment/activity integration,LOW,P2,Monthly schedule with lines; no dedicated UI page
work_journal,Журнал работ с фото,Work Execution / Volumes,MUST,construction.work.journal,MATCHED,"GeneralJournal, GeneralJournalEntry",journal,11,,"JournalStatus: [DRAFT,ACTIVE,CLOSED,ARCHIVED]",,No dedicated UI page,LOW,P2,Work journal mapped to general journal; API but no dedicated UI
work_order,Наряд на выполнение работ,Work Execution / Volumes,MUST,construction.work.order,MATCHED,WorkOrder,ops,15,"operations/work-orders, operations/work-orders/:id, operations/work-orders/new","WorkOrderStatus: [DRAFT,PLANNED,IN_PROGRESS,ON_HOLD,COMPLETED,CANCELLED]",,Full coverage,LOW,P2,Work orders in ops with full workflow
journal_general,Общий журнал работ (КС-6),Work Execution / Volumes,SHOULD,construction.journal.general,MATCHED,"GeneralJournal, GeneralJournalEntry",journal,11,,"JournalStatus: [DRAFT,ACTIVE,CLOSED,ARCHIVED]",,No dedicated UI page; Odoo had chatter; verify Next comment/activity integration,LOW,P2,General construction journal
journal_special,Специальный журнал работ,Work Execution / Volumes,SHOULD,construction.journal.special,MATCHED,GeneralJournal,journal,11,,"JournalStatus: [DRAFT,ACTIVE,CLOSED,ARCHIVED]",,No dedicated UI page; Odoo had chatter; verify Next comment/activity integration,LOW,P2,Special journals use same entity; no separate type
material_certificate,Сертификат качества материала,Quality Control,MUST,construction.material.certificate,MATCHED,"MaterialCertificate, CertificateLine, QualityCertificate",quality,12,quality/certificates,"MaterialCertificateStatus: [VALID,EXPIRED,REVOKED,PENDING_VERIFICATION]",,Odoo had chatter; verify Next comment/activity integration,LOW,P2,Material certificates with verification workflow
punch_item,Замечание,Quality Control,MUST,construction.punch.item,MATCHED,"PunchItem, PunchItemComment, PunchList",punchlist,8,"punchlist/items, punchlist/items/:id, punchlist/dashboard (+1 more)","PunchItemStatus: [OPEN,IN_PROGRESS,FIXED,VERIFIED,CLOSED]; PunchListStatus: [OPEN,IN_PROGRESS,COMPLETED]",,Full coverage,LOW,P2,"Full punchlist with items, comments, fix/verify/close"
submittal,Передача документации,Quality Control,MUST,construction.submittal,MATCHED,"Submittal, SubmittalComment, SubmittalPackage, SubmittalReview","pto, pmWorkflow",49,"pm/submittals, pm/submittals/:id","SubmittalStatus: [DRAFT,SUBMITTED,UNDER_REVIEW,APPROVED,APPROVED_AS_NOTED,REJECTED,RESUBMITTED,CLOSED]; SubmittalStatus: [DRAFT,SUBMITTED,APPROVED,REJECTED,REVISED]",,Full coverage,LOW,P2,Submittals in PTO and PM workflow with review cycle
audit_checklist,Чек-лист аудита,Quality Control,SHOULD,construction.audit.checklist,MATCHED,QualityCheck,quality,12,"quality, quality/:id, quality/tolerance-rules (+2 more)","CheckStatus: [PLANNED,IN_PROGRESS,COMPLETED,CANCELLED]",,Odoo had chatter; verify Next comment/activity integration,LOW,P2,Audit checklists mapped to quality checks
audit_schedule,Расписание аудитов,Quality Control,SHOULD,construction.audit.schedule,MATCHED,QualityCheck,quality,12,"quality, quality/:id, quality/tolerance-rules (+2 more)","CheckStatus: [PLANNED,IN_PROGRESS,COMPLETED,CANCELLED]",,Odoo had chatter; verify Next comment/activity integration,LOW,P2,Audit schedules mapped to quality checks with PLANNED status
journal_input,Журнал входного контроля материалов,Quality Control,SHOULD,construction.journal.input,MATCHED,QualityCheck,quality,12,"quality, quality/:id, quality/tolerance-rules (+2 more)","CheckStatus: [PLANNED,IN_PROGRESS,COMPLETED,CANCELLED]",,Full coverage,LOW,P2,Input control journal mapped to quality checks
submittal_log,Журнал передач,Quality Control,SHOULD,construction.submittal.log,MATCHED,"SubmittalPackage, SubmittalReview",pmWorkflow,18,"pm/submittals, pm/submittals/:id","SubmittalStatus: [DRAFT,SUBMITTED,UNDER_REVIEW,APPROVED,APPROVED_AS_NOTED,REJECTED,RESUBMITTED,CLOSED]; SubmittalStatus: [DRAFT,SUBMITTED,APPROVED,REJECTED,REVISED]",,Full coverage,LOW,P2,Submittal log is list/history of submittal packages
tolerance_check,Проверка допустимого отклонения,Quality Control,SHOULD,construction.tolerance.check,MATCHED,ToleranceCheck,quality,16,quality/tolerance-checks,"ToleranceCheckStatus: [PASS,FAIL,NEEDS_RECHECK]",,Odoo had chatter; verify Next comment/activity integration,LOW,P2,Tolerance checks with pass/fail/recheck
tolerance_rule,Правило допустимого отклонения,Quality Control,SHOULD,construction.tolerance.rule,MATCHED,ToleranceRule,quality,16,quality/tolerance-rules,,,Full coverage,LOW,P2,Tolerance rules in quality module
safety_training,Инструктаж по охране труда,Safety / HSE,MUST,construction.safety.training,MATCHED,SafetyTraining,safety,22,safety,"TrainingStatus: [PLANNED,IN_PROGRESS,COMPLETED,CANCELLED]",PdfReportController,Odoo had chatter; verify Next comment/activity integration,LOW,P2,Safety training with PLANNED/IN_PROGRESS/COMPLETED
medical_examination,Медицинский осмотр,Safety / HSE,SHOULD,construction.medical.examination,MATCHED,"HrEmployeeCertificate, HrCertificateType",hrRussian,42,"hr-russian/employment-contracts, hr-russian/personnel-orders, hr-russian/staffing (+1 more)","CertificateStatus: [VALID,EXPIRING,EXPIRED]",,Odoo had chatter; verify Next comment/activity integration,LOW,P2,Medical exams tracked as employee certificates; no dedicated entity
ppr,Проект производства работ,Safety / HSE,SHOULD,construction.ppr,MATCHED,"PreventiveSchedule, MaintenanceRequest",maintenance,23,"fleet/maintenance, maintenance/requests, maintenance/equipment (+1 more)","RequestStatus: [NEW,IN_PROGRESS,REPAIRED,SCRAP]",,Full coverage,LOW,P2,PPR mapped to maintenance module schedules
tech_card,Технологическая карта,Safety / HSE,SHOULD,construction.tech.card,MATCHED,TechnicalSolution,pto,31,"pto/documents, pto/documents/:id, pto/work-permits (+1 more)","TechnicalSolutionStatus: [DRAFT,IN_REVIEW,APPROVED,REJECTED,IMPLEMENTED]",,Full coverage,LOW,P2,Tech cards mapped to TechnicalSolution in PTO
budget_item,Статья бюджета,Financial / Payments / Budget,MUST,construction.budget.item,MATCHED,"BudgetItem, Budget, BudgetLine","finance, costManagement",54,"budgets, budgets/new, budgets/:id (+1 more)","BudgetStatus: [DRAFT,APPROVED,ACTIVE,FROZEN,CLOSED]",,Full coverage,LOW,P2,Budget items in finance and costManagement
acquiring_payment,Платеж через эквайринг,Financial / Payments / Budget,SHOULD,construction.acquiring.payment,MATCHED,Payment,finance,34,"payments, payments/new, payments/:id","PaymentStatus: [DRAFT,PENDING,APPROVED,PAID,CANCELLED]",,Full coverage,LOW,P2,Acquiring payments via generic Payment entity
